StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
432,24,Male,74,21,70,99,10,No,Yes,High School,100.0
433,18,Female,70,26,83,51,2,Yes,Yes,Graduate,85.32
434,20,Female,86,8,86,95,3,Yes,No,Graduate,89.33
435,19,Male,87,16,41,49,1,Yes,Yes,High School,58.53
436,18,Female,98,13,71,85,10,Yes,Yes,Postgraduate,94.5
437,19,Female,50,13,57,61,8,No,No,High School,67.67
438,24,Female,74,17,52,95,1,No,Yes,Graduate,88.32
439,23,Female,100,23,85,92,3,No,No,Graduate,100.0
440,19,Male,85,20,44,65,3,Yes,No,High School,75.98
441,20,Male,66,5,97,46,2,Yes,No,Postgraduate,61.78
442,23,Female,90,22,81,80,5,Yes,Yes,Postgraduate,95.43
443,19,Male,73,21,83,65,10,Yes,Yes,Postgraduate,100.0
444,24,Female,51,28,49,66,3,No,No,High School,83.93
445,23,Female,89,17,95,66,3,Yes,Yes,Postgraduate,84.44
446,24,Female,64,28,82,87,8,Yes,No,Postgraduate,100.0
447,19,Female,81,9,64,95,4,No,Yes,Postgraduate,94.29
448,24,Female,88,2,73,80,4,No,No,Postgraduate,63.24
449,20,Male,55,25,76,41,3,No,Yes,Graduate,78.35
450,19,Female,50,26,69,38,1,Yes,No,High School,71.04
451,19,Male,96,18,46,86,8,Yes,Yes,High School,100.0
452,19,Male,72,9,45,65,1,Yes,No,Postgraduate,55.51
453,18,Female,88,6,93,70,7,Yes,Yes,High School,75.33
454,18,Female,66,11,94,88,5,Yes,No,High School,84.24
455,18,Female,83,25,42,88,4,Yes,Yes,Graduate,99.57
456,20,Female,90,29,52,51,4,No,Yes,High School,85.89
457,23,Female,78,6,42,64,8,Yes,No,Graduate,68.28
458,24,Male,58,6,65,56,6,No,Yes,High School,66.9
459,22,Female,62,13,96,77,1,No,Yes,Graduate,88.79
460,19,Female,55,11,63,61,10,No,Yes,Graduate,79.9
461,24,Male,55,14,92,71,8,Yes,Yes,High School,89.85
462,19,Male,69,2,45,80,2,Yes,No,Graduate,61.04
463,20,Female,52,8,82,69,6,No,Yes,Graduate,67.9
464,19,Male,66,3,99,38,9,Yes,Yes,High School,60.62
465,18,Female,98,23,97,60,1,Yes,No,Graduate,89.96
466,22,Male,61,21,88,53,6,No,Yes,Graduate,77.65
467,21,Male,97,3,81,79,8,Yes,No,Graduate,86.78
468,19,Female,96,1,51,60,10,Yes,Yes,Graduate,77.65
469,24,Male,94,24,88,56,2,Yes,No,Graduate,89.61
470,18,Male,50,19,75,92,5,Yes,Yes,Postgraduate,98.37
471,21,Male,66,18,41,97,6,No,No,Graduate,99.64
472,22,Male,52,17,50,62,5,No,No,Graduate,68.53
473,21,Male,75,20,78,99,3,Yes,No,Graduate,91.06
474,18,Male,64,29,73,78,4,Yes,Yes,Graduate,97.15
475,23,Female,85,24,65,77,7,Yes,No,High School,100.0
476,23,Female,81,13,57,71,4,No,Yes,Postgraduate,72.32
477,21,Male,81,3,60,100,9,Yes,No,High School,94.41
478,20,Female,53,30,75,51,10,Yes,No,Postgraduate,100.0
479,24,Female,67,1,79,74,2,No,No,Graduate,63.65
480,24,Female,98,4,91,72,5,Yes,Yes,Graduate,73.04
481,21,Male,68,25,85,95,8,No,Yes,Postgraduate,100.0
482,19,Female,92,13,83,43,5,Yes,No,Postgraduate,68.38
483,19,Male,84,17,61,95,10,No,No,High School,100.0
484,24,Female,89,28,92,50,8,Yes,No,Postgraduate,98.54
485,24,Male,63,30,98,36,8,Yes,No,Graduate,95.14
486,23,Male,82,11,69,77,9,No,No,High School,92.61
487,20,Female,63,2,89,76,10,No,No,Postgraduate,80.24
488,18,Female,83,25,82,91,6,No,No,Postgraduate,100.0
489,19,Male,53,16,100,64,4,No,No,High School,80.49
490,24,Female,73,2,99,47,3,No,Yes,Postgraduate,54.98
491,23,Female,78,29,69,53,5,Yes,No,Graduate,81.59
492,22,Female,68,19,47,41,6,No,Yes,High School,59.48
493,23,Male,55,23,73,43,3,No,No,Postgraduate,76.66
494,19,Male,82,19,96,88,2,No,Yes,Graduate,95.28
495,19,Female,98,25,86,95,7,No,Yes,Postgraduate,100.0
496,23,Female,89,16,48,36,5,Yes,No,High School,62.33
497,18,Female,68,22,90,84,9,Yes,Yes,Postgraduate,100.0
498,21,Male,50,19,59,65,3,Yes,Yes,Postgraduate,70.48
499,19,Male,54,9,79,67,8,Yes,No,Postgraduate,83.75
500,23,Female,76,1,64,45,6,Yes,No,Graduate,67.0
501,24,Female,65,10,58,67,4,No,No,Graduate,65.35
502,23,Female,55,19,44,41,9,Yes,Yes,Postgraduate,75.7
503,20,Female,89,1,50,65,5,Yes,No,Postgraduate,65.45
504,21,Female,62,2,54,82,10,No,Yes,High School,69.86
505,22,Female,97,16,47,81,6,No,No,Postgraduate,86.19
506,18,Male,84,12,58,87,9,Yes,No,High School,91.94
507,22,Female,68,8,62,53,7,Yes,Yes,Graduate,61.16
508,21,Male,61,23,66,40,5,No,Yes,Postgraduate,80.66
509,21,Female,65,18,79,83,2,Yes,Yes,High School,85.57
510,21,Female,92,2,71,84,4,No,No,Graduate,69.65
511,22,Male,59,25,65,46,2,No,No,High School,74.81
512,24,Male,74,29,66,57,3,Yes,No,Graduate,91.98
513,21,Male,69,13,58,88,10,Yes,Yes,Postgraduate,89.08
514,23,Male,80,6,89,93,3,Yes,Yes,High School,72.93
515,22,Female,53,21,81,70,4,No,Yes,Postgraduate,86.08
516,21,Male,93,26,68,37,6,No,Yes,High School,79.57
517,23,Female,72,6,78,92,3,Yes,No,Graduate,75.23
518,24,Male,51,9,99,89,10,Yes,Yes,High School,93.25
519,20,Female,71,16,80,91,1,Yes,Yes,High School,84.91
520,24,Female,100,11,72,51,1,No,No,Postgraduate,67.74
521,21,Female,86,7,58,73,9,No,No,Postgraduate,87.92
522,22,Female,57,10,76,89,9,No,Yes,Postgraduate,86.59
523,19,Female,56,10,58,79,5,Yes,Yes,Graduate,85.06
524,21,Female,63,30,72,35,9,No,Yes,Postgraduate,92.35
525,19,Male,52,25,86,55,7,No,Yes,High School,83.89
526,23,Female,99,20,55,55,9,Yes,Yes,Graduate,87.92
527,20,Male,65,18,62,86,7,No,Yes,Postgraduate,86.79
528,18,Male,68,28,46,77,9,Yes,No,High School,100.0
529,24,Female,100,24,65,86,2,No,No,High School,100.0
530,20,Male,67,20,71,78,8,Yes,No,Graduate,93.36
531,21,Female,65,29,51,66,7,Yes,No,High School,86.34
532,19,Male,57,9,47,44,6,No,Yes,Postgraduate,59.85
533,24,Female,82,15,44,98,5,Yes,Yes,High School,88.29
534,19,Male,98,4,81,62,4,No,Yes,Postgraduate,66.9
535,22,Female,61,8,67,87,7,Yes,Yes,Postgraduate,83.06
536,19,Female,60,9,92,85,3,Yes,No,Graduate,85.51
537,22,Female,54,13,44,87,8,Yes,Yes,High School,87.85
538,23,Female,76,9,88,38,2,No,Yes,Graduate,61.45
539,24,Male,61,26,65,51,1,Yes,Yes,Graduate,76.81
540,24,Female,66,4,44,81,2,Yes,Yes,Graduate,57.45
541,18,Male,55,17,61,90,9,No,No,Postgraduate,96.29
542,21,Male,82,16,54,57,5,Yes,Yes,Postgraduate,80.44
543,22,Male,54,15,52,52,8,Yes,No,Postgraduate,69.02
544,18,Female,77,3,67,35,3,Yes,Yes,Postgraduate,47.47
545,19,Male,63,25,72,69,7,Yes,Yes,High School,100.0
546,19,Male,54,20,82,98,2,No,Yes,High School,92.24
547,18,Male,82,5,62,92,8,Yes,No,Postgraduate,83.75
548,24,Female,99,23,72,93,7,Yes,Yes,Postgraduate,100.0
549,19,Female,97,5,82,35,5,No,Yes,High School,64.28
550,23,Male,90,20,57,37,4,Yes,Yes,Graduate,74.67
551,23,Female,68,15,89,71,1,Yes,No,Graduate,79.5
552,18,Female,71,18,92,63,5,No,No,Postgraduate,93.04
553,22,Male,54,15,69,67,9,No,Yes,Graduate,80.75
554,22,Male,51,2,65,95,10,No,No,Postgraduate,75.35
555,18,Female,79,29,55,38,4,No,Yes,Postgraduate,87.06
556,22,Male,96,13,52,48,9,Yes,Yes,Postgraduate,78.85
557,24,Female,88,4,78,67,2,No,No,High School,64.3
558,24,Female,53,10,72,56,4,Yes,Yes,Graduate,62.8
559,22,Female,82,13,65,82,9,No,Yes,High School,85.78
560,23,Female,62,10,87,37,4,Yes,No,Graduate,61.26
561,22,Female,69,29,40,57,5,No,No,High School,80.44
562,24,Female,56,9,88,55,8,No,No,High School,75.36
563,20,Male,64,8,77,77,1,Yes,No,Postgraduate,67.49
564,21,Male,72,3,41,60,1,No,Yes,Postgraduate,45.68
565,19,Female,63,16,88,75,9,No,Yes,High School,97.74
566,20,Female,72,14,45,72,9,No,Yes,Graduate,95.13
567,22,Female,68,9,85,45,4,Yes,Yes,Graduate,65.59
568,23,Male,78,30,89,63,2,No,Yes,Postgraduate,94.87
569,18,Female,69,21,77,94,9,No,Yes,Postgraduate,100.0
570,22,Male,78,11,81,99,4,Yes,Yes,Graduate,92.81
571,23,Female,73,3,63,95,6,Yes,Yes,Graduate,82.58
572,21,Female,67,5,57,53,1,No,No,Graduate,53.33
573,22,Male,59,29,66,80,9,Yes,Yes,Postgraduate,100.0
574,24,Male,90,10,80,83,5,Yes,Yes,Graduate,94.42
575,18,Female,57,13,47,56,3,Yes,Yes,Postgraduate,57.45
576,23,Female,75,4,67,91,4,No,Yes,High School,78.27
577,23,Female,78,24,49,48,1,No,Yes,High School,65.33
578,23,Male,59,13,56,78,9,Yes,No,High School,80.33
579,21,Male,66,12,94,50,8,No,No,Graduate,79.8
580,22,Male,51,5,68,46,4,Yes,No,Postgraduate,52.87
581,21,Male,55,10,97,89,2,No,Yes,Graduate,72.55
582,19,Male,54,28,45,85,9,Yes,Yes,Postgraduate,100.0
583,19,Male,77,24,53,73,4,No,Yes,Graduate,88.28
584,22,Female,90,9,61,67,9,Yes,Yes,High School,85.85
585,24,Female,54,20,93,67,10,No,No,Postgraduate,96.46
586,21,Male,67,7,45,63,3,No,No,Graduate,57.23
587,18,Female,75,2,65,65,7,Yes,Yes,Postgraduate,71.24
588,23,Female,69,22,78,65,7,No,Yes,Postgraduate,93.24
589,23,Male,90,24,51,80,10,No,No,Graduate,100.0
590,22,Female,98,28,74,86,4,No,No,Graduate,100.0
591,24,Male,76,23,53,44,2,No,No,Postgraduate,68.04
592,19,Male,98,7,61,75,9,No,No,Postgraduate,82.31
593,19,Female,61,8,90,37,4,No,No,High School,55.75
594,23,Male,56,7,62,93,8,No,No,Postgraduate,87.01
595,22,Male,52,21,87,86,2,No,No,High School,82.11
596,21,Male,59,23,46,68,8,Yes,Yes,High School,96.25
597,19,Male,83,29,79,83,10,No,Yes,High School,100.0
598,21,Male,74,14,89,62,5,Yes,No,Postgraduate,77.14
599,24,Male,84,26,64,47,7,No,Yes,High School,96.26
600,19,Male,65,19,52,95,7,Yes,No,Postgraduate,91.82
601,19,Male,51,5,60,94,9,No,Yes,Postgraduate,86.64
602,20,Female,73,23,80,58,3,Yes,No,Graduate,80.7
603,19,Female,59,25,49,97,10,Yes,Yes,Postgraduate,100.0
604,18,Female,87,18,92,95,4,No,No,Postgraduate,94.36
605,22,Male,71,20,94,57,10,Yes,Yes,High School,98.36
606,22,Male,75,12,98,64,4,No,Yes,Postgraduate,85.34
607,21,Female,92,23,48,94,10,No,No,Postgraduate,100.0
608,24,Female,88,17,54,52,5,Yes,No,Graduate,85.79
609,19,Female,76,13,91,90,6,No,No,Graduate,99.04
610,18,Male,78,2,41,87,3,Yes,Yes,High School,57.81
611,21,Female,96,25,64,41,4,Yes,Yes,High School,80.8
612,20,Female,87,13,52,86,3,No,Yes,Graduate,89.19
613,21,Male,69,26,73,38,2,No,Yes,Graduate,79.67
614,21,Female,76,7,90,68,10,No,No,Postgraduate,83.26
615,19,Male,90,28,97,67,9,No,No,High School,100.0
616,20,Male,69,10,73,72,1,No,Yes,High School,66.28
617,21,Male,93,23,74,60,2,Yes,No,Postgraduate,87.54
618,18,Female,68,6,77,35,8,Yes,No,Postgraduate,55.87
619,18,Female,69,3,42,38,7,No,No,High School,51.97
620,22,Male,84,26,81,73,1,No,No,Graduate,99.51
621,20,Female,96,3,95,88,5,No,Yes,Graduate,88.06
622,20,Female,51,18,98,67,10,Yes,No,Postgraduate,92.76
623,22,Female,79,11,45,67,6,Yes,No,High School,79.85
624,21,Female,83,22,94,54,5,Yes,No,Postgraduate,94.34
625,20,Male,71,20,87,50,4,No,Yes,Graduate,88.74
626,18,Female,52,5,88,55,1,No,No,Graduate,61.69
627,18,Male,55,19,58,79,7,Yes,Yes,Postgraduate,91.83
628,19,Male,64,22,42,96,9,No,Yes,Graduate,100.0
629,20,Female,76,27,57,65,6,No,No,High School,95.62
630,21,Male,59,28,78,76,3,Yes,No,Postgraduate,94.4
631,22,Female,58,19,48,46,10,Yes,Yes,Postgraduate,81.64
632,22,Female,82,30,91,99,4,No,Yes,Postgraduate,100.0
633,21,Male,81,15,51,37,10,Yes,Yes,Graduate,74.96
634,24,Male,97,30,44,43,5,No,Yes,High School,87.88
635,23,Male,55,16,42,85,1,Yes,No,Postgraduate,75.0
636,19,Male,90,24,50,50,5,Yes,Yes,Postgraduate,82.26
637,22,Female,85,9,96,37,1,No,No,Graduate,66.63
638,20,Female,51,4,69,58,9,No,No,High School,70.84
639,19,Female,78,15,43,47,7,Yes,Yes,Postgraduate,77.38
640,20,Male,53,25,44,36,3,No,No,Graduate,62.64
641,24,Male,50,12,40,55,9,Yes,Yes,Postgraduate,66.85
642,18,Male,68,23,66,53,2,No,Yes,Graduate,76.66
643,19,Female,75,3,67,81,7,Yes,Yes,High School,72.57
644,22,Male,74,23,68,56,9,Yes,No,Graduate,100.0
645,19,Female,59,14,57,67,6,Yes,No,Postgraduate,78.3
646,19,Male,64,17,51,66,10,No,Yes,Postgraduate,87.19
647,19,Female,71,19,52,98,5,Yes,No,Graduate,94.07
648,23,Female,100,6,80,73,7,Yes,No,High School,86.86
649,19,Male,97,4,41,76,6,Yes,No,High School,84.51
650,20,Male,70,7,76,43,5,Yes,No,Postgraduate,61.05
651,18,Female,71,30,84,59,2,No,No,Postgraduate,91.18
652,24,Female,85,19,55,36,8,No,Yes,Graduate,75.8
653,21,Male,83,17,87,53,7,Yes,No,Graduate,82.79
654,19,Male,79,25,63,54,6,Yes,No,Graduate,88.54
655,22,Female,74,16,74,51,5,No,Yes,High School,72.49
656,19,Male,94,15,61,37,5,Yes,No,High School,65.67
657,22,Female,77,22,75,85,9,No,No,Postgraduate,100.0
658,20,Female,50,8,50,60,1,Yes,No,Postgraduate,56.01
659,22,Male,98,19,94,90,9,No,Yes,Postgraduate,100.0
660,21,Male,94,8,97,98,6,Yes,No,Graduate,100.0
661,18,Male,53,18,85,42,4,No,No,High School,71.93
662,22,Male,56,28,68,71,10,No,Yes,Postgraduate,100.0
663,22,Male,98,16,74,61,7,No,Yes,Postgraduate,91.7
664,18,Female,58,20,87,79,9,Yes,No,Postgraduate,98.22
665,21,Female,85,19,93,38,5,No,Yes,Postgraduate,79.44
666,19,Male,68,10,54,71,5,No,Yes,Postgraduate,68.85
667,22,Male,50,17,99,67,8,Yes,Yes,Postgraduate,90.68
668,18,Male,59,13,70,65,7,Yes,No,High School,75.98
669,20,Female,85,13,81,89,8,Yes,No,Postgraduate,93.6
670,18,Male,58,7,80,46,10,Yes,Yes,High School,74.21
671,20,Male,94,27,82,45,2,No,Yes,Graduate,80.09
672,21,Female,95,10,55,66,9,Yes,Yes,High School,91.05
673,19,Female,91,2,49,91,3,Yes,Yes,Graduate,81.6
674,18,Male,81,4,88,72,6,Yes,No,High School,74.49
675,24,Male,81,25,71,94,6,Yes,Yes,High School,100.0
676,24,Male,55,6,90,53,2,Yes,No,Postgraduate,54.11
677,23,Female,97,24,41,90,7,Yes,Yes,High School,100.0
678,22,Male,87,18,63,48,9,Yes,No,High School,83.63
679,21,Male,66,23,62,67,10,No,No,Postgraduate,86.22
680,18,Male,59,6,41,44,1,No,Yes,Graduate,43.29
681,24,Female,99,29,77,98,8,No,No,Postgraduate,100.0
682,22,Female,76,30,70,98,2,No,No,Postgraduate,100.0
683,24,Male,99,25,90,96,1,No,No,Postgraduate,100.0
684,18,Male,84,23,79,77,8,Yes,Yes,Graduate,100.0
685,20,Female,70,17,65,93,2,Yes,No,High School,91.7
686,18,Female,74,14,68,86,6,Yes,No,High School,91.94
687,23,Female,77,24,42,53,6,Yes,Yes,Postgraduate,82.89
688,18,Female,96,11,97,55,5,No,Yes,Postgraduate,77.69
689,18,Female,64,26,53,56,8,No,No,High School,93.85
690,23,Female,53,19,64,43,3,Yes,No,High School,65.31
691,21,Female,78,30,87,43,10,Yes,Yes,High School,93.05
692,18,Female,58,2,40,61,4,No,Yes,Graduate,51.48
693,23,Female,76,28,92,51,7,No,No,Graduate,98.78
694,22,Male,75,3,42,78,7,No,No,Postgraduate,69.75
695,20,Male,68,11,93,79,8,Yes,Yes,Graduate,85.79
696,20,Male,77,6,65,42,2,Yes,Yes,Postgraduate,47.98
697,18,Female,66,29,57,52,2,No,No,High School,82.23
698,21,Male,92,14,48,67,4,No,No,High School,79.69
699,21,Female,90,19,77,35,10,Yes,Yes,Postgraduate,78.06
700,22,Female,91,26,62,40,9,Yes,No,High School,89.25
701,18,Male,99,16,60,75,10,Yes,No,Postgraduate,91.28
702,20,Female,69,21,96,89,9,Yes,No,Postgraduate,100.0
703,21,Male,94,22,40,39,4,No,No,Postgraduate,83.38
704,18,Male,89,24,60,93,9,No,Yes,Graduate,100.0
705,24,Male,88,7,66,52,3,No,Yes,Postgraduate,55.89
706,21,Female,98,30,81,83,5,Yes,No,Postgraduate,100.0
707,23,Male,72,27,98,99,10,Yes,No,Postgraduate,100.0
708,24,Female,96,8,45,88,9,Yes,No,Graduate,81.73
709,21,Male,81,19,94,95,6,No,No,High School,99.62
710,20,Male,96,20,83,42,3,No,Yes,Graduate,80.34
711,19,Male,82,16,75,37,10,No,No,Postgraduate,78.06
712,24,Female,95,22,67,59,9,Yes,No,Graduate,100.0
713,22,Female,54,27,84,89,6,Yes,Yes,High School,100.0
714,22,Female,92,7,56,74,4,No,Yes,High School,78.63
715,20,Male,97,9,98,84,4,Yes,No,Postgraduate,96.34
716,21,Male,83,13,79,67,8,No,Yes,High School,81.86
717,18,Female,89,1,97,52,7,No,Yes,Graduate,71.19
718,21,Female,60,29,91,91,1,No,No,Graduate,100.0
719,20,Female,99,8,42,50,6,No,No,High School,56.12
720,22,Female,52,24,51,72,8,Yes,Yes,Postgraduate,93.63
721,21,Female,82,22,78,75,3,Yes,No,Postgraduate,95.75
722,22,Female,60,4,51,41,9,Yes,Yes,Graduate,48.65
723,24,Male,65,3,41,87,10,Yes,Yes,High School,74.63
724,18,Female,67,27,95,97,2,Yes,Yes,Graduate,100.0
725,24,Male,79,3,85,66,6,Yes,No,Graduate,74.9
726,22,Male,97,22,61,72,1,No,No,Graduate,81.1
727,22,Female,59,13,62,56,2,Yes,Yes,Postgraduate,65.43
728,19,Female,67,8,69,50,5,Yes,Yes,High School,51.65
729,19,Male,87,7,44,86,1,Yes,No,High School,74.5
730,24,Female,68,27,48,63,8,No,Yes,Postgraduate,94.18
731,23,Female,85,1,60,50,1,Yes,Yes,Graduate,48.65
732,24,Male,62,27,50,51,9,No,No,Graduate,95.89
733,19,Male,95,16,44,98,10,Yes,No,Postgraduate,90.78
734,22,Male,52,6,74,47,3,Yes,No,High School,54.26
735,20,Female,59,7,66,90,2,Yes,No,Postgraduate,79.59
736,24,Male,87,12,88,39,1,No,Yes,High School,64.69
737,22,Female,50,23,41,46,9,No,No,High School,84.78
738,20,Male,76,9,63,75,4,Yes,No,High School,72.95
739,20,Male,95,27,70,37,1,Yes,Yes,Graduate,79.21
740,19,Male,57,11,72,67,1,Yes,Yes,Graduate,73.22
741,24,Female,100,10,78,84,7,No,Yes,Postgraduate,96.47
742,21,Female,95,21,69,90,2,No,No,Postgraduate,100.0
743,18,Male,91,1,85,43,7,Yes,Yes,Graduate,62.51
744,19,Male,66,18,76,84,7,No,No,Postgraduate,95.5
745,19,Male,58,4,90,63,10,No,Yes,Graduate,70.94
746,21,Female,55,5,67,73,9,No,No,Graduate,72.38
747,18,Male,92,9,99,79,7,No,Yes,High School,95.49
748,22,Female,74,27,70,51,1,Yes,No,High School,82.15
749,23,Male,88,17,50,90,8,Yes,No,Graduate,93.96
750,24,Male,98,3,62,80,8,No,Yes,High School,78.62
751,23,Male,77,16,96,48,4,No,Yes,Graduate,76.15
752,22,Male,82,5,41,57,8,No,No,High School,62.49
753,19,Male,86,16,79,95,4,Yes,Yes,Postgraduate,94.71
754,18,Male,58,3,80,57,8,Yes,No,Postgraduate,59.85
755,19,Female,67,20,66,61,5,No,No,Graduate,80.14
756,20,Male,70,15,74,88,4,No,No,Graduate,94.53
757,19,Female,51,30,41,44,6,No,Yes,High School,81.39
758,19,Male,92,3,78,50,2,No,No,High School,71.51
759,22,Male,87,20,76,75,2,Yes,No,Graduate,85.73
760,22,Female,89,14,60,89,2,Yes,No,Postgraduate,89.08
761,22,Male,85,16,97,95,9,Yes,No,Postgraduate,100.0
762,23,Female,99,29,44,83,10,Yes,Yes,Graduate,100.0
763,20,Female,92,29,91,86,3,Yes,Yes,Postgraduate,100.0
764,22,Male,86,17,84,36,10,Yes,No,Graduate,79.56
765,18,Female,64,28,60,84,4,No,Yes,High School,100.0
766,23,Female,77,24,68,77,10,No,Yes,Postgraduate,100.0
767,21,Male,67,20,59,42,8,Yes,No,Postgraduate,68.28
768,18,Female,83,23,100,93,4,Yes,Yes,High School,100.0
769,24,Male,71,18,77,99,10,Yes,Yes,High School,100.0
770,24,Male,60,18,59,46,10,No,Yes,Postgraduate,76.06
771,18,Male,62,22,89,38,7,No,Yes,Postgraduate,80.84
772,22,Male,53,14,64,75,5,No,Yes,Graduate,83.28
773,21,Female,71,18,41,41,9,No,Yes,Graduate,80.62
774,21,Male,56,15,96,64,4,Yes,No,Postgraduate,78.92
775,23,Male,92,15,71,40,3,No,Yes,Graduate,66.62
776,21,Female,73,6,65,53,2,Yes,No,High School,65.72
777,24,Male,53,27,45,100,1,No,No,Graduate,96.72
778,20,Male,77,15,80,44,6,No,No,Graduate,73.46
779,22,Female,64,18,96,50,10,No,Yes,Postgraduate,87.62
780,21,Female,50,4,42,71,2,No,Yes,Graduate,61.82
781,23,Female,52,23,72,66,8,Yes,No,Postgraduate,90.31
782,24,Female,63,8,40,81,6,Yes,No,Postgraduate,78.58
783,20,Female,87,15,90,77,5,Yes,No,Postgraduate,90.01
784,19,Female,99,3,44,70,2,Yes,Yes,High School,67.55
785,19,Female,50,30,52,60,7,Yes,Yes,Graduate,86.56
786,20,Male,87,15,58,44,2,Yes,Yes,Graduate,72.25
787,24,Female,87,13,51,65,5,Yes,No,Graduate,74.02
788,23,Female,70,9,87,63,2,No,Yes,Postgraduate,71.5
789,20,Female,97,2,64,39,10,Yes,Yes,High School,56.52
790,22,Male,78,24,96,35,2,No,No,Postgraduate,77.67
791,22,Male,54,8,90,37,7,Yes,Yes,Graduate,61.99
792,19,Female,98,29,74,69,9,No,No,Postgraduate,100.0
793,21,Female,59,30,51,49,5,Yes,Yes,Postgraduate,84.45
794,23,Female,77,20,69,64,7,No,No,Graduate,90.36
795,19,Male,70,17,44,77,4,Yes,Yes,Postgraduate,84.47
796,21,Male,99,13,73,94,2,Yes,No,Postgraduate,92.15
797,21,Female,56,1,61,74,3,Yes,Yes,High School,66.01
798,22,Male,52,2,78,99,2,Yes,No,Postgraduate,77.84
799,24,Female,94,30,52,63,5,No,No,High School,98.3
800,18,Male,96,15,96,53,6,Yes,Yes,Graduate,77.8
801,24,Male,69,12,86,37,7,Yes,Yes,High School,65.81
802,18,Female,68,14,93,70,3,No,No,Postgraduate,69.2
803,20,Female,84,25,42,77,4,Yes,Yes,Graduate,92.83
804,22,Female,53,29,99,49,8,No,No,Postgraduate,100.0
805,21,Female,54,2,92,75,4,No,No,Postgraduate,70.71
806,23,Male,50,18,59,70,7,Yes,Yes,High School,82.87
807,18,Male,53,22,70,67,6,Yes,Yes,Postgraduate,83.01
808,24,Male,61,7,44,39,7,No,Yes,High School,55.86
809,21,Female,76,29,63,48,1,Yes,No,Graduate,93.21
810,18,Male,91,23,79,81,3,No,No,Graduate,100.0
811,18,Female,72,29,93,88,6,Yes,Yes,Postgraduate,100.0
812,18,Male,74,25,72,38,3,Yes,No,High School,69.79
813,23,Female,70,6,47,43,7,No,No,Postgraduate,69.14
814,22,Female,73,14,63,87,9,Yes,Yes,Postgraduate,89.86
815,23,Male,74,8,89,94,3,Yes,No,Postgraduate,87.2
816,19,Female,94,27,59,80,1,Yes,No,Postgraduate,89.76
817,21,Female,95,22,99,88,10,No,No,High School,100.0
818,22,Male,81,2,55,71,6,Yes,Yes,Postgraduate,59.99
819,22,Female,81,17,89,57,1,No,Yes,Graduate,71.29
820,22,Female,54,5,91,61,1,Yes,No,High School,54.78
821,24,Female,85,14,51,100,8,No,Yes,Postgraduate,100.0
822,22,Male,95,25,52,95,9,Yes,No,High School,100.0
823,23,Male,91,24,84,85,2,Yes,Yes,Postgraduate,100.0
824,22,Female,98,30,81,84,9,No,No,Graduate,100.0
825,20,Male,91,29,78,53,5,Yes,No,Graduate,100.0
826,21,Female,88,20,64,35,8,No,No,Graduate,81.47
827,22,Female,65,21,85,74,7,Yes,No,High School,96.13
828,21,Female,82,29,71,66,7,No,Yes,Graduate,100.0
829,20,Female,98,21,63,56,4,Yes,No,Postgraduate,73.54
830,20,Female,70,22,87,100,2,No,No,Postgraduate,98.34
831,21,Male,58,3,86,74,5,Yes,Yes,Postgraduate,62.1
832,18,Female,55,5,83,72,3,No,Yes,High School,56.93
833,19,Male,100,16,48,82,9,No,No,High School,92.96
834,24,Male,94,18,79,89,6,Yes,No,Graduate,95.56
835,18,Female,84,26,89,89,1,No,Yes,High School,100.0
836,18,Female,88,17,62,85,3,No,No,Postgraduate,90.51
837,23,Male,71,11,89,94,4,Yes,No,Postgraduate,79.0
838,24,Male,90,17,52,42,9,Yes,No,Postgraduate,80.17
839,24,Male,54,16,99,43,6,Yes,No,High School,68.14
840,18,Female,91,26,98,36,4,Yes,No,Postgraduate,86.61
841,22,Male,72,23,71,93,1,Yes,No,Graduate,97.97
842,23,Female,66,2,89,53,8,Yes,No,High School,61.05
843,23,Female,61,4,54,62,2,No,No,Postgraduate,57.09
844,20,Female,72,21,75,48,8,No,No,Postgraduate,86.46
845,24,Male,65,7,88,58,6,No,Yes,High School,68.88
846,18,Female,52,2,44,78,8,Yes,Yes,High School,62.9
847,20,Female,79,30,61,90,6,Yes,Yes,Graduate,100.0
848,21,Female,71,6,55,85,5,No,No,High School,74.7
849,19,Female,58,17,80,66,5,No,No,Postgraduate,82.78
850,23,Female,78,7,49,84,10,Yes,No,Graduate,82.83
851,21,Male,96,25,63,75,10,No,Yes,Postgraduate,100.0
852,21,Female,86,5,57,100,8,Yes,Yes,Postgraduate,87.9
853,22,Female,72,5,88,59,7,Yes,No,Postgraduate,72.28
854,19,Male,62,20,57,95,8,No,Yes,High School,100.0
855,21,Female,81,16,46,100,8,Yes,Yes,High School,98.75
856,21,Male,95,19,43,76,7,Yes,No,Postgraduate,90.52
857,19,Female,96,9,65,99,2,Yes,No,High School,84.61
858,19,Male,97,5,44,70,9,Yes,Yes,Postgraduate,74.83
859,21,Male,72,8,99,43,7,No,No,High School,74.08
860,19,Female,94,9,94,70,6,Yes,Yes,High School,79.46
861,21,Female,66,5,55,72,9,Yes,Yes,High School,73.8
